日期,收盘,开盘,高,低,交易量,涨跌幅
2021年7月30日,76.33,75.81,76.38,75.38,14.39K,0.37%
2021年7月29日,76.05,74.76,76.15,74.63,78.27K,1.75%
2021年7月28日,74.74,74.77,75.32,74.42,111.62K,0.35%
2021年7月27日,74.48,74.67,75.05,74.02,181.94K,-0.03%
2021年7月26日,74.5,74.12,74.84,72.75,210.64K,0.54%
2021年7月23日,74.1,73.56,74.22,73.32,181.66K,0.42%
2021年7月22日,73.79,72.24,73.9,71.74,251.60K,2.16%
2021年7月21日,72.23,68.92,72.38,68.63,306.32K,4.15%
2021年7月20日,69.35,68.99,69.73,67.44,316.48K,1.06%
2021年7月19日,68.62,72.86,73.34,67.75,510.92K,-6.75%
2021年7月16日,73.59,73.18,74.09,72.34,292.66K,0.16%
2021年7月15日,73.47,74.5,74.59,73.19,322.33K,-1.73%
2021年7月14日,74.76,76.28,76.72,73.79,376.94K,-2.26%
2021年7月13日,76.49,75.25,76.6,74.93,275.91K,1.77%
2021年7月12日,75.16,75.79,75.84,74.23,262.30K,-0.52%
2021年7月9日,75.55,74.39,75.8,73.8,248.18K,1.93%
2021年7月8日,74.12,73.35,74.4,72.11,314.34K,0.94%
2021年7月7日,73.43,74.69,75.99,72.6,387.43K,-1.48%
2021年7月6日,74.53,77.06,77.84,74.13,410.70K,-3.41%
2021年7月5日,77.16,76.23,77.26,75.7,157.22K,1.30%
2021年7月2日,76.17,75.64,76.43,75.21,236.22K,0.44%
2021年7月1日,75.84,74.69,76.74,74.55,405.16K,0.95%
2021年6月30日,75.13,75.18,75.6,74.39,15.06K,0.49%
2021年6月29日,74.76,74.67,75.51,73.9,94.94K,0.11%
2021年6月28日,74.68,75.99,76.6,74.51,142.11K,-1.97%
2021年6月25日,76.18,75.54,76.21,74.95,172.41K,0.82%
2021年6月24日,75.56,75.3,75.78,74.51,165.05K,0.49%
2021年6月23日,75.19,74.75,76.02,74.7,229.04K,0.51%
2021年6月22日,74.81,74.88,75.3,74.32,294.72K,-0.12%
2021年6月21日,74.9,73.33,74.95,72.98,265.47K,1.89%
2021年6月18日,73.51,73,73.76,72.18,231.55K,0.59%
2021年6月17日,73.08,73.8,74.5,72.01,336.64K,-1.76%
2021年6月16日,74.39,74.26,74.96,73.86,306.09K,0.54%
2021年6月15日,73.99,73.03,74.33,72.79,228.62K,1.55%
2021年6月14日,72.86,72.7,73.64,72.59,200.72K,0.23%
2021年6月11日,72.69,72.41,73.09,71.88,276.48K,0.23%
2021年6月10日,72.52,72.03,72.93,70.95,346.58K,0.42%
2021年6月9日,72.22,72.17,72.87,71.82,266.37K,0.00%
2021年6月8日,72.22,71.42,72.42,70.71,285.23K,1.02%
2021年6月7日,71.49,71.82,72.27,71.1,224.33K,-0.56%
2021年6月4日,71.89,71.25,72.17,70.73,222.00K,0.81%
2021年6月3日,71.31,71.27,71.99,70.66,229.79K,-0.06%
2021年6月2日,71.35,70.55,71.48,70.35,221.63K,1.57%
2021年6月1日,70.25,69.39,71.34,69.29,302.49K,1.34%
